DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 17:06:50.309,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5217420,-0.3044,5.3607,-61.4552,-0.0150,0.0113,0.0749,0
5217587,-0.3148,5.3688,-61.4620,-0.0111,0.0150,0.0551,0
5217753,-0.3193,5.3792,-61.4644,0.0013,0.0041,0.0566,0
5217920,-0.3183,5.3777,-61.4744,-0.0104,0.0122,0.0701,0
5218087,-0.3194,5.3779,-61.4681,0.0051,0.0157,0.0532,0
5218253,-0.3141,5.3740,-61.4767,0.0060,0.0075,0.0535,0
5218420,-0.3081,5.3662,-61.4884,-0.0103,0.0195,0.0536,0
5218587,-0.3037,5.3602,-61.5122,-0.0119,-0.0022,0.0528,0
5218754,-0.3017,5.3528,-61.5203,0.0029,-0.0009,0.0534,0
5218920,-0.2994,5.3431,-61.5193,-0.0002,-0.0056,0.0650,0
5219087,-0.2984,5.3325,-61.5052,-0.0124,0.0060,0.0747,0
5219254,-0.2992,5.3221,-61.5025,-0.0156,0.0322,0.0427,0
5219420,-0.2967,5.3115,-61.5141,-0.0156,0.0276,0.0584,0
5219587,-0.2962,5.3040,-61.5148,-0.0263,0.0058,0.0600,0
5219754,-0.2959,5.2937,-61.4997,-0.0218,0.0136,0.0686,0
5219920,-0.2948,5.2842,-61.4923,-0.0033,0.0087,0.0362,0
5220087,-0.2947,5.2766,-61.4828,-0.0012,0.0115,0.0396,0
5220254,-0.2944,5.2662,-61.4851,0.0052,0.0253,0.0523,0
5220420,-0.2933,5.2571,-61.4932,-0.0158,0.0276,0.0557,0
5220587,-0.2913,5.2469,-61.4839,-0.0205,0.0089,0.0541,0
5220754,-0.2890,5.2358,-61.4872,-0.0223,0.0190,0.0502,0
5220920,-0.2883,5.2258,-61.4963,-0.0457,0.0278,0.0585,0
5221087,-0.2873,5.2173,-61.4959,-0.0220,0.0270,0.0616,0
