DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-12 13:10:39.562,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
36867399,0.4427,-0.0156,-0.0167,-0.8964,-0.0102,-0.0164,0.0695,0
36867732,0.4424,-0.0159,-0.0172,-0.8965,0.0302,0.0135,0.0897,0
36868066,0.4422,-0.0156,-0.0175,-0.8966,-0.0337,0.0091,0.0705,0
36868399,0.4421,-0.0155,-0.0177,-0.8966,0.0347,0.0125,0.0785,0
36868732,0.4420,-0.0154,-0.0179,-0.8967,-0.0115,0.0135,0.0829,0
36869066,0.4420,-0.0153,-0.0180,-0.8967,-0.0169,0.0110,0.0708,0
36869399,0.4421,-0.0153,-0.0182,-0.8967,-0.0136,0.0119,0.0760,0
36869732,0.4421,-0.0153,-0.0183,-0.8967,-0.0020,0.0366,0.0814,0
36870066,0.4422,-0.0154,-0.0184,-0.8966,-0.0171,0.0288,0.0819,0
36870399,0.4421,-0.0154,-0.0186,-0.8966,-0.0014,0.0212,0.0783,0
36870732,0.4419,-0.0154,-0.0187,-0.8967,0.0087,0.0343,0.0810,0
36871066,0.4420,-0.0154,-0.0188,-0.8967,-0.0027,0.0424,0.0955,0
36871399,0.4422,-0.0154,-0.0190,-0.8966,-0.0365,0.0187,0.0742,0
36871732,0.4422,-0.0154,-0.0191,-0.8966,-0.0320,0.0416,0.0893,0
36872066,0.4422,-0.0154,-0.0192,-0.8966,-0.0026,0.0393,0.0830,0
36872399,0.4423,-0.0154,-0.0193,-0.8965,-0.0040,0.0515,0.0872,0
36872732,0.4423,-0.0154,-0.0194,-0.8965,-0.0049,0.0316,0.0908,0
36873066,0.4424,-0.0154,-0.0196,-0.8965,0.0063,0.0387,0.0781,0
36873399,0.4424,-0.0154,-0.0197,-0.8965,0.0058,0.0708,0.0781,0
36873732,0.4423,-0.0154,-0.0199,-0.8965,-0.0338,0.0728,0.0942,0
36874066,0.4423,-0.0155,-0.0200,-0.8965,-0.0588,0.0600,0.0719,0
36874399,0.4425,-0.0155,-0.0201,-0.8964,0.0050,0.0205,0.0934,0
36874732,0.4425,-0.0155,-0.0203,-0.8964,0.0203,0.0450,0.0808,0
36875066,0.4424,-0.0155,-0.0204,-0.8964,-0.0243,0.0506,0.0884,0
36875399,0.4424,-0.0155,-0.0205,-0.8964,-0.0381,0.0813,0.0861,0
36875732,0.4422,-0.0155,-0.0206,-0.8966,-0.0183,0.1031,0.0733,0
36876066,0.4421,-0.0156,-0.0208,-0.8966,-0.0202,0.0807,0.0755,0
36876399,0.4422,-0.0156,-0.0209,-0.8965,-0.0581,0.0819,0.0737,0
36876732,0.4419,-0.0156,-0.0210,-0.8967,0.0533,0.0596,0.0846,0
36877066,0.4419,-0.0156,-0.0212,-0.8967,-0.0379,0.0470,0.0820,0
36877399,0.4419,-0.0156,-0.0213,-0.8967,-0.0258,0.1090,0.0843,0
36877732,0.4422,-0.0157,-0.0214,-0.8965,-0.0580,0.0682,0.0977,0
36878066,0.4423,-0.0157,-0.0216,-0.8965,-0.0677,0.0515,0.0872,0
36878399,0.4424,-0.0157,-0.0217,-0.8964,-0.0068,0.0658,0.0894,0
36878732,0.4423,-0.0158,-0.0218,-0.8965,-0.0098,0.0715,0.0783,0
36879066,0.4420,-0.0158,-0.0219,-0.8966,-0.0147,0.0938,0.0835,0
36879399,0.4419,-0.0158,-0.0221,-0.8967,-0.1483,0.1214,0.0641,0
36879732,0.4421,-0.0157,-0.0221,-0.8965,0.0323,0.0731,0.0891,0
36880066,0.4421,-0.0157,-0.0222,-0.8966,0.0244,0.0971,0.1054,0
36880399,0.4422,-0.0157,-0.0223,-0.8965,-0.1134,0.0973,0.0770,0
36880732,0.4422,-0.0157,-0.0225,-0.8965,-0.0210,0.0781,0.0945,0
36881066,0.4415,-0.0158,-0.0225,-0.8968,-0.0134,0.0978,0.0740,0
36881399,0.4414,-0.0158,-0.0227,-0.8969,-0.0424,0.1058,0.0848,0
36881733,0.4416,-0.0158,-0.0228,-0.8968,-0.0740,0.0810,0.0966,0
36882066,0.4411,-0.0158,-0.0229,-0.8970,0.0032,0.1769,0.0800,0
36882399,0.4412,-0.0158,-0.0230,-0.8970,-0.0435,0.1189,0.0855,0
36882733,0.4411,-0.0158,-0.0231,-0.8970,-0.0615,0.0941,0.0874,0
36883066,0.4413,-0.0158,-0.0232,-0.8969,-0.0433,0.1142,0.0764,0
36883399,0.4413,-0.0158,-0.0233,-0.8969,-0.0177,0.0734,0.0752,0
36883733,0.4416,-0.0159,-0.0234,-0.8968,-0.0459,0.1033,0.0899,0
36884066,0.4417,-0.0159,-0.0235,-0.8967,-0.0164,0.1211,0.0773,0
36884399,0.4418,-0.0159,-0.0236,-0.8966,-0.0562,0.0963,0.0777,0
36884733,0.4419,-0.0159,-0.0236,-0.8966,-0.0169,0.1149,0.0742,0
36885066,0.4419,-0.0159,-0.0237,-0.8966,-0.0235,0.1424,0.0773,0
36885399,0.4419,-0.0159,-0.0238,-0.8966,-0.0377,0.1529,0.0715,0
36885733,0.4419,-0.0159,-0.0239,-0.8966,-0.0420,0.1345,0.0898,0
36886066,0.4420,-0.0159,-0.0239,-0.8965,-0.0479,0.1280,0.0751,0
36886399,0.4422,-0.0159,-0.0240,-0.8965,-0.0495,0.1077,0.0755,0
36886733,0.4423,-0.0159,-0.0241,-0.8964,-0.0511,0.1156,0.0825,0
36887066,0.4425,-0.0159,-0.0241,-0.8963,-0.0511,0.1191,0.0833,0
36887399,0.4426,-0.0159,-0.0242,-0.8962,-0.0414,0.1406,0.0810,0
36887733,0.4427,-0.0159,-0.0243,-0.8962,-0.0716,0.1309,0.0609,0
36888066,0.4427,-0.0160,-0.0243,-0.8962,-0.0422,0.1550,0.0802,0
36888399,0.4427,-0.0160,-0.0244,-0.8962,-0.0219,0.1547,0.0908,0
36888733,0.4428,-0.0160,-0.0244,-0.8962,-0.0498,0.1305,0.0745,0
36889066,0.4428,-0.0160,-0.0245,-0.8961,-0.0528,0.1390,0.0841,0
36889399,0.4429,-0.0160,-0.0245,-0.8961,-0.0344,0.1342,0.0830,0
36889733,0.4429,-0.0160,-0.0245,-0.8961,-0.0400,0.1172,0.0794,0
36890066,0.4431,-0.0160,-0.0246,-0.8960,-0.0611,0.1508,0.0772,0
36890399,0.4430,-0.0160,-0.0246,-0.8960,-0.0520,0.1547,0.0771,0
36890733,0.4431,-0.0160,-0.0246,-0.8960,-0.0540,0.1368,0.0708,0
36891066,0.4432,-0.0160,-0.0247,-0.8959,-0.0425,0.1457,0.0716,0
36891399,0.4432,-0.0160,-0.0247,-0.8960,-0.0401,0.1419,0.0844,0
36891733,0.4432,-0.0160,-0.0247,-0.8959,-0.0517,0.1523,0.0910,0
36892066,0.4432,-0.0160,-0.0247,-0.8959,-0.0572,0.1440,0.0820,0
36892399,0.4432,-0.0160,-0.0247,-0.8959,-0.0428,0.1329,0.0955,0
