DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.156,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1614747,0.1521,0.0094,-0.0098,0.9883,-0.9451,-1.2404,162.5148,0.0289,0.0021,0.0747,0
1614914,0.1521,0.0095,-0.0098,0.9883,-0.9418,-1.2514,162.5068,0.0347,-0.0110,0.0660,0
1615080,0.1522,0.0096,-0.0098,0.9882,-0.9383,-1.2613,162.4943,0.0441,-0.0154,0.0759,0
1615247,0.1523,0.0097,-0.0098,0.9882,-0.9359,-1.2710,162.4867,0.0406,-0.0022,0.0773,0
1615414,0.1525,0.0098,-0.0098,0.9882,-0.9339,-1.2821,162.4636,0.0375,-0.0117,0.0615,0
1615580,0.1526,0.0099,-0.0098,0.9882,-0.9321,-1.2932,162.4501,0.0361,0.0205,0.0759,0
1615747,0.1527,0.0100,-0.0097,0.9882,-0.9289,-1.3042,162.4380,0.0325,0.0220,0.0564,0
1615914,0.1528,0.0101,-0.0098,0.9882,-0.9275,-1.3152,162.4256,0.0634,-0.0039,0.0752,0
1616080,0.1530,0.0102,-0.0097,0.9881,-0.9248,-1.3261,162.4104,0.0544,0.0131,0.0966,0
1616247,0.1530,0.0103,-0.0097,0.9881,-0.9229,-1.3377,162.4031,0.0603,-0.0067,0.0629,0
1616414,0.1531,0.0104,-0.0097,0.9881,-0.9202,-1.3466,162.3930,0.0574,-0.0134,0.0672,0
1616580,0.1532,0.0105,-0.0097,0.9881,-0.9200,-1.3566,162.3816,0.0578,-0.0166,0.0734,0
1616747,0.1533,0.0106,-0.0097,0.9881,-0.9176,-1.3668,162.3696,0.0734,-0.0354,0.0608,0
1616914,0.1534,0.0106,-0.0097,0.9881,-0.9165,-1.3766,162.3582,0.0713,-0.0148,0.0788,0
1617080,0.1535,0.0107,-0.0097,0.9880,-0.9144,-1.3862,162.3511,0.0626,-0.0121,0.0718,0
1617247,0.1536,0.0108,-0.0097,0.9880,-0.9122,-1.3955,162.3324,0.0640,-0.0280,0.0675,0
1617414,0.1538,0.0109,-0.0097,0.9880,-0.9099,-1.4056,162.3200,0.0796,-0.0427,0.0686,0
1617580,0.1539,0.0110,-0.0097,0.9880,-0.9077,-1.4153,162.3063,0.0740,-0.0254,0.0744,0
