DeviceTag: Movella DOT0,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.220,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
41274487,0.0138,-0.0036,0.0019,-0.9999,-0.2282,-0.4043,-178.4178,-0.0042,0.0059,0.0055,0
41274654,0.0138,-0.0036,0.0019,-0.9999,-0.2256,-0.4078,-178.4136,0.0254,0.0122,0.0190,0
41274821,0.0138,-0.0036,0.0019,-0.9999,-0.2233,-0.4093,-178.4155,-0.0002,0.0163,0.0012,0
41274987,0.0138,-0.0036,0.0019,-0.9999,-0.2209,-0.4135,-178.4155,0.0057,0.0197,0.0063,0
41275154,0.0138,-0.0036,0.0018,-0.9999,-0.2175,-0.4152,-178.4135,0.0231,0.0143,0.0192,0
41275321,0.0138,-0.0037,0.0018,-0.9999,-0.2142,-0.4182,-178.4182,0.0127,0.0131,0.0034,0
41275487,0.0137,-0.0037,0.0018,-0.9999,-0.2126,-0.4203,-178.4243,0.0098,0.0143,0.0115,0
41275654,0.0137,-0.0037,0.0018,-0.9999,-0.2098,-0.4235,-178.4235,0.0240,0.0220,0.0074,0
41275821,0.0138,-0.0037,0.0018,-0.9999,-0.2069,-0.4246,-178.4226,0.0074,0.0100,0.0024,0
41275987,0.0138,-0.0037,0.0017,-0.9999,-0.2034,-0.4248,-178.4166,0.0096,-0.0023,-0.0013,0
41276154,0.0138,-0.0038,0.0017,-0.9999,-0.1995,-0.4271,-178.4146,0.0251,-0.0029,0.0026,0
41276321,0.0139,-0.0038,0.0017,-0.9999,-0.1969,-0.4288,-178.4068,0.0175,0.0130,-0.0007,0
41276487,0.0139,-0.0038,0.0016,-0.9999,-0.1928,-0.4314,-178.4022,0.0164,0.0152,0.0088,0
41276654,0.0140,-0.0038,0.0016,-0.9999,-0.1871,-0.4332,-178.3978,0.0080,0.0026,-0.0001,0
41276821,0.0140,-0.0038,0.0015,-0.9999,-0.1831,-0.4336,-178.3902,0.0182,-0.0095,0.0166,0
41276987,0.0141,-0.0038,0.0015,-0.9999,-0.1787,-0.4352,-178.3839,0.0307,-0.0000,0.0190,0
41277154,0.0141,-0.0038,0.0015,-0.9999,-0.1729,-0.4353,-178.3806,0.0177,-0.0048,-0.0092,0
41277321,0.0142,-0.0038,0.0014,-0.9999,-0.1691,-0.4366,-178.3761,0.0017,0.0247,-0.0102,0
41277487,0.0142,-0.0038,0.0014,-0.9999,-0.1656,-0.4382,-178.3712,0.0034,0.0071,-0.0023,0
41277654,0.0142,-0.0038,0.0014,-0.9999,-0.1611,-0.4389,-178.3703,0.0149,0.0105,0.0034,0
41277821,0.0143,-0.0039,0.0013,-0.9999,-0.1570,-0.4406,-178.3639,0.0101,0.0074,0.0143,0
41277988,0.0143,-0.0039,0.0013,-0.9999,-0.1540,-0.4423,-178.3637,0.0266,0.0221,0.0044,0
41278154,0.0143,-0.0039,0.0013,-0.9999,-0.1517,-0.4436,-178.3579,0.0098,0.0286,0.0009,0
41278321,0.0144,-0.0039,0.0012,-0.9999,-0.1485,-0.4456,-178.3519,0.0042,0.0439,0.0150,0
41278488,0.0144,-0.0039,0.0012,-0.9999,-0.1453,-0.4471,-178.3463,0.0009,0.0252,0.0119,0
41278654,0.0145,-0.0039,0.0012,-0.9999,-0.1411,-0.4496,-178.3390,0.0048,-0.0013,0.0032,0
41278821,0.0146,-0.0040,0.0011,-0.9999,-0.1382,-0.4518,-178.3313,0.0203,-0.0014,0.0031,0
41278988,0.0146,-0.0040,0.0011,-0.9999,-0.1351,-0.4534,-178.3238,0.0124,0.0365,0.0095,0
41279154,0.0147,-0.0040,0.0011,-0.9999,-0.1328,-0.4554,-178.3205,0.0175,0.0493,0.0048,0
41279321,0.0147,-0.0040,0.0011,-0.9999,-0.1310,-0.4576,-178.3183,0.0231,0.0390,0.0023,0
41279488,0.0147,-0.0040,0.0011,-0.9999,-0.1278,-0.4599,-178.3173,0.0327,0.0300,0.0071,0
41279654,0.0147,-0.0040,0.0010,-0.9999,-0.1244,-0.4618,-178.3159,0.0209,0.0190,0.0149,0
41279821,0.0148,-0.0041,0.0010,-0.9999,-0.1219,-0.4640,-178.3043,0.0270,0.0327,0.0173,0
41279988,0.0148,-0.0041,0.0010,-0.9999,-0.1201,-0.4667,-178.3080,0.0247,0.0256,0.0218,0
41280154,0.0148,-0.0041,0.0010,-0.9999,-0.1167,-0.4693,-178.3054,0.0279,0.0224,0.0131,0
41280321,0.0147,-0.0041,0.0009,-0.9999,-0.1136,-0.4706,-178.3105,0.0116,0.0301,0.0180,0
41280488,0.0147,-0.0041,0.0009,-0.9999,-0.1103,-0.4724,-178.3097,0.0159,0.0321,0.0113,0
41280654,0.0148,-0.0041,0.0009,-0.9999,-0.1071,-0.4740,-178.3052,0.0311,0.0228,0.0143,0
41280821,0.0148,-0.0042,0.0009,-0.9999,-0.1045,-0.4760,-178.3044,0.0205,0.0240,-0.0031,0
41280988,0.0148,-0.0042,0.0008,-0.9999,-0.1015,-0.4785,-178.3058,0.0126,0.0415,0.0042,0
41281154,0.0148,-0.0042,0.0008,-0.9999,-0.0975,-0.4806,-178.3083,0.0130,0.0262,0.0086,0
41281321,0.0147,-0.0042,0.0008,-0.9999,-0.0938,-0.4827,-178.3099,0.0184,0.0216,0.0165,0
41281488,0.0148,-0.0042,0.0007,-0.9999,-0.0889,-0.4829,-178.3039,0.0341,0.0196,0.0176,0
41281654,0.0148,-0.0042,0.0007,-0.9999,-0.0851,-0.4853,-178.3011,0.0317,0.0250,0.0071,0
41281821,0.0148,-0.0043,0.0006,-0.9999,-0.0808,-0.4876,-178.3021,0.0266,0.0341,0.0040,0
41281988,0.0148,-0.0043,0.0006,-0.9999,-0.0755,-0.4889,-178.2984,0.0401,0.0214,0.0146,0
41282154,0.0149,-0.0043,0.0006,-0.9999,-0.0717,-0.4921,-178.2944,0.0275,0.0283,-0.0007,0
41282321,0.0149,-0.0043,0.0005,-0.9999,-0.0680,-0.4939,-178.2966,0.0245,0.0303,0.0102,0
41282488,0.0148,-0.0043,0.0005,-0.9999,-0.0625,-0.4949,-178.3012,0.0153,0.0274,-0.0016,0
41282654,0.0148,-0.0044,0.0005,-0.9999,-0.0594,-0.4977,-178.2996,0.0426,0.0232,-0.0013,0
41282821,0.0148,-0.0044,0.0004,-0.9999,-0.0553,-0.4994,-178.2980,0.0349,0.0333,0.0084,0
41282988,0.0149,-0.0044,0.0004,-0.9999,-0.0518,-0.5014,-178.2975,0.0294,0.0439,-0.0027,0
41283154,0.0148,-0.0044,0.0004,-0.9999,-0.0478,-0.5022,-178.3003,0.0229,0.0348,0.0027,0
41283321,0.0148,-0.0044,0.0003,-0.9999,-0.0433,-0.5048,-178.3088,0.0232,0.0284,0.0089,0
41283488,0.0147,-0.0044,0.0003,-0.9999,-0.0394,-0.5072,-178.3098,0.0078,0.0537,0.0125,0
41283654,0.0147,-0.0044,0.0003,-0.9999,-0.0373,-0.5087,-178.3132,0.0138,0.0570,0.0133,0
41283821,0.0147,-0.0045,0.0002,-0.9999,-0.0334,-0.5107,-178.3188,0.0390,0.0301,-0.0027,0
41283988,0.0146,-0.0045,0.0002,-0.9999,-0.0298,-0.5129,-178.3243,0.0446,0.0484,0.0169,0
41284154,0.0147,-0.0045,0.0002,-0.9999,-0.0268,-0.5142,-178.3200,0.0397,0.0406,0.0131,0
41284321,0.0147,-0.0045,0.0001,-0.9999,-0.0246,-0.5166,-178.3180,0.0245,0.0625,0.0047,0
41284488,0.0146,-0.0045,0.0001,-0.9999,-0.0213,-0.5185,-178.3252,0.0155,0.0471,0.0124,0
41284654,0.0146,-0.0045,0.0001,-0.9999,-0.0176,-0.5198,-178.3298,0.0305,0.0463,0.0002,0
41284821,0.0146,-0.0046,0.0001,-0.9999,-0.0149,-0.5219,-178.3300,0.0318,0.0270,0.0011,0
