DeviceTag: Xsens DOT6B,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:31:46.900,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
35831656,0.9716,-0.0017,-0.0003,0.2366,-0.1951,0.0164,27.3661,0.0040,-0.0143,0.0714,0
35831823,0.9716,-0.0017,-0.0003,0.2366,-0.1965,0.0148,27.3662,-0.0174,-0.0040,0.1567,0
35831989,0.9716,-0.0017,-0.0003,0.2365,-0.1962,0.0135,27.3654,0.0121,0.0113,0.1013,0
35832156,0.9716,-0.0017,-0.0003,0.2365,-0.1941,0.0130,27.3659,-0.0125,0.0045,0.1131,0
35832323,0.9716,-0.0017,-0.0003,0.2366,-0.1934,0.0139,27.3662,0.0035,-0.0057,0.1146,0
35832489,0.9716,-0.0017,-0.0003,0.2366,-0.1924,0.0152,27.3668,-0.0050,-0.0087,0.1029,0
35832656,0.9716,-0.0017,-0.0003,0.2366,-0.1923,0.0147,27.3675,-0.0109,0.0013,0.1296,0
35832823,0.9716,-0.0017,-0.0003,0.2366,-0.1925,0.0143,27.3678,-0.0016,0.0139,0.1204,0
35832989,0.9716,-0.0017,-0.0003,0.2366,-0.1928,0.0146,27.3685,0.0005,-0.0133,0.1100,0
35833156,0.9716,-0.0017,-0.0003,0.2366,-0.1936,0.0136,27.3695,-0.0014,-0.0104,0.1192,0
35833323,0.9716,-0.0017,-0.0003,0.2366,-0.1926,0.0140,27.3690,-0.0105,-0.0044,0.1202,0
35833489,0.9716,-0.0017,-0.0003,0.2366,-0.1922,0.0142,27.3684,-0.0097,-0.0080,0.1139,0
35833656,0.9716,-0.0017,-0.0003,0.2366,-0.1916,0.0143,27.3673,0.0104,-0.0022,0.1180,0
35833823,0.9716,-0.0017,-0.0003,0.2366,-0.1910,0.0152,27.3678,-0.0002,-0.0054,0.1098,0
35833989,0.9716,-0.0017,-0.0003,0.2366,-0.1917,0.0161,27.3682,-0.0059,-0.0093,0.1110,0
35834156,0.9716,-0.0016,-0.0003,0.2366,-0.1907,0.0151,27.3685,-0.0048,-0.0051,0.1012,0
35834323,0.9716,-0.0017,-0.0003,0.2366,-0.1912,0.0154,27.3682,0.0196,0.0048,0.1116,0
35834489,0.9716,-0.0016,-0.0003,0.2366,-0.1909,0.0152,27.3680,0.0211,0.0012,0.1079,0
35834656,0.9716,-0.0016,-0.0003,0.2366,-0.1902,0.0159,27.3692,0.0050,-0.0030,0.1138,0
35834823,0.9716,-0.0017,-0.0003,0.2366,-0.1916,0.0155,27.3697,-0.0118,-0.0180,0.1242,0
35834989,0.9716,-0.0017,-0.0003,0.2366,-0.1914,0.0162,27.3706,-0.0156,-0.0101,0.1116,0
35835156,0.9716,-0.0017,-0.0003,0.2366,-0.1915,0.0168,27.3696,-0.0011,-0.0102,0.1266,0
35835323,0.9716,-0.0017,-0.0003,0.2366,-0.1919,0.0163,27.3687,0.0035,-0.0031,0.1092,0
35835489,0.9716,-0.0017,-0.0003,0.2366,-0.1920,0.0155,27.3695,0.0131,0.0101,0.1249,0
35835656,0.9716,-0.0017,-0.0003,0.2366,-0.1922,0.0156,27.3688,-0.0079,0.0043,0.1103,0
35835823,0.9716,-0.0017,-0.0003,0.2366,-0.1915,0.0160,27.3695,-0.0012,0.0054,0.1067,0
35835989,0.9716,-0.0017,-0.0003,0.2366,-0.1922,0.0162,27.3705,0.0007,-0.0085,0.1163,0
35836156,0.9716,-0.0017,-0.0003,0.2366,-0.1926,0.0164,27.3714,0.0171,-0.0017,0.1095,0
35836323,0.9716,-0.0017,-0.0003,0.2366,-0.1914,0.0160,27.3712,0.0147,-0.0043,0.1051,0
35836489,0.9716,-0.0017,-0.0003,0.2366,-0.1921,0.0150,27.3713,0.0100,0.0058,0.1140,0
35836656,0.9716,-0.0017,-0.0003,0.2366,-0.1927,0.0160,27.3714,-0.0122,-0.0031,0.1072,0
35836823,0.9716,-0.0017,-0.0003,0.2366,-0.1914,0.0161,27.3714,-0.0116,-0.0097,0.1171,0
35836989,0.9716,-0.0017,-0.0003,0.2366,-0.1918,0.0162,27.3709,-0.0167,0.0055,0.0915,0
35837156,0.9716,-0.0017,-0.0003,0.2366,-0.1923,0.0155,27.3703,-0.0021,-0.0022,0.1117,0
35837323,0.9716,-0.0017,-0.0003,0.2366,-0.1922,0.0145,27.3715,0.0180,0.0068,0.1142,0
35837489,0.9716,-0.0017,-0.0003,0.2366,-0.1921,0.0147,27.3712,0.0035,-0.0012,0.1245,0
35837656,0.9716,-0.0017,-0.0003,0.2366,-0.1908,0.0159,27.3714,0.0014,0.0052,0.1214,0
35837823,0.9716,-0.0016,-0.0003,0.2366,-0.1906,0.0159,27.3716,-0.0201,-0.0018,0.1127,0
35837990,0.9716,-0.0017,-0.0003,0.2366,-0.1906,0.0169,27.3712,-0.0065,-0.0057,0.1078,0
35838156,0.9716,-0.0016,-0.0002,0.2366,-0.1896,0.0170,27.3708,-0.0105,-0.0046,0.1126,0
35838323,0.9716,-0.0016,-0.0003,0.2366,-0.1903,0.0158,27.3697,-0.0007,-0.0114,0.1208,0
35838490,0.9716,-0.0017,-0.0003,0.2366,-0.1909,0.0154,27.3692,-0.0035,-0.0132,0.1270,0
35838656,0.9716,-0.0016,-0.0003,0.2366,-0.1901,0.0162,27.3694,-0.0058,0.0028,0.0937,0
35838823,0.9716,-0.0016,-0.0003,0.2366,-0.1894,0.0158,27.3698,0.0066,-0.0051,0.1216,0
35838990,0.9716,-0.0016,-0.0003,0.2366,-0.1886,0.0154,27.3689,0.0042,0.0041,0.1302,0
35839156,0.9716,-0.0016,-0.0003,0.2366,-0.1886,0.0158,27.3697,0.0167,-0.0057,0.1102,0
35839323,0.9716,-0.0016,-0.0003,0.2366,-0.1889,0.0161,27.3696,-0.0119,-0.0092,0.1082,0
35839490,0.9716,-0.0016,-0.0003,0.2366,-0.1887,0.0163,27.3706,-0.0081,-0.0018,0.0987,0
