DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.112,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1614080,0.0807,0.0030,-0.0020,-0.9967,0.2607,0.3276,-170.7370,0.0102,0.0196,0.0819,0
1614247,0.0807,0.0030,-0.0021,-0.9967,0.2665,0.3225,-170.7426,0.0085,0.0287,0.1001,0
1614414,0.0806,0.0030,-0.0022,-0.9967,0.2735,0.3176,-170.7486,0.0171,0.0368,0.0916,0
1614580,0.0806,0.0029,-0.0022,-0.9967,0.2802,0.3133,-170.7545,0.0099,0.0295,0.0878,0
1614747,0.0805,0.0029,-0.0023,-0.9967,0.2870,0.3084,-170.7610,0.0163,0.0478,0.1081,0
1614914,0.0805,0.0029,-0.0023,-0.9967,0.2931,0.3042,-170.7624,0.0170,0.0398,0.0663,0
1615080,0.0805,0.0028,-0.0024,-0.9967,0.2986,0.2982,-170.7641,0.0062,0.0286,0.0757,0
1615247,0.0805,0.0028,-0.0024,-0.9968,0.3047,0.2929,-170.7689,0.0224,0.0442,0.0935,0
1615414,0.0804,0.0027,-0.0025,-0.9968,0.3100,0.2885,-170.7706,0.0282,0.0351,0.0740,0
1615580,0.0804,0.0027,-0.0025,-0.9968,0.3158,0.2837,-170.7752,0.0196,0.0539,0.0820,0
1615747,0.0804,0.0026,-0.0026,-0.9968,0.3219,0.2783,-170.7796,0.0187,0.0489,0.0851,0
1615914,0.0803,0.0026,-0.0027,-0.9968,0.3285,0.2732,-170.7858,0.0108,0.0551,0.0907,0
1616080,0.0803,0.0026,-0.0027,-0.9968,0.3326,0.2676,-170.7910,0.0284,0.0378,0.0930,0
1616247,0.0802,0.0025,-0.0028,-0.9968,0.3381,0.2629,-170.7967,0.0290,0.0367,0.0762,0
1616414,0.0802,0.0025,-0.0028,-0.9968,0.3435,0.2574,-170.8034,0.0092,0.0414,0.0884,0
1616580,0.0801,0.0024,-0.0029,-0.9968,0.3498,0.2526,-170.8112,0.0172,0.0472,0.0963,0
1616747,0.0801,0.0024,-0.0029,-0.9968,0.3561,0.2492,-170.8139,0.0341,0.0458,0.0812,0
1616914,0.0801,0.0024,-0.0030,-0.9968,0.3615,0.2441,-170.8145,0.0313,0.0550,0.0923,0
1617080,0.0800,0.0023,-0.0030,-0.9968,0.3683,0.2401,-170.8176,0.0245,0.0479,0.0909,0
