DeviceTag: Movella DOT1,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.258,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1615747,0.6331,-0.0142,-0.0100,0.7739,-1.9108,0.5333,101.4141,0.0381,-0.0353,-0.1375,0
1615914,0.6331,-0.0140,-0.0101,0.7738,-1.9085,0.5119,101.4119,0.0459,-0.0365,-0.1495,0
1616080,0.6332,-0.0139,-0.0102,0.7738,-1.9063,0.4912,101.4118,0.0277,-0.0491,-0.1633,0
1616247,0.6331,-0.0137,-0.0103,0.7739,-1.9034,0.4708,101.4241,0.0348,-0.0478,-0.1579,0
1616414,0.6331,-0.0135,-0.0104,0.7739,-1.9013,0.4498,101.4268,0.0227,-0.0642,-0.1372,0
1616580,0.6331,-0.0134,-0.0104,0.7739,-1.8976,0.4295,101.4261,0.0279,-0.0609,-0.1186,0
1616747,0.6331,-0.0132,-0.0105,0.7739,-1.8936,0.4110,101.4253,0.0278,-0.0777,-0.1336,0
1616914,0.6330,-0.0131,-0.0106,0.7740,-1.8904,0.3918,101.4342,0.0346,-0.0784,-0.1487,0
1617080,0.6330,-0.0129,-0.0107,0.7740,-1.8862,0.3730,101.4404,0.0294,-0.0645,-0.1584,0
1617247,0.6330,-0.0128,-0.0108,0.7740,-1.8804,0.3531,101.4427,0.0357,-0.0730,-0.1482,0
1617414,0.6330,-0.0126,-0.0108,0.7740,-1.8754,0.3332,101.4422,0.0092,-0.0988,-0.1366,0
1617580,0.6330,-0.0125,-0.0109,0.7740,-1.8694,0.3148,101.4351,0.0221,-0.0900,-0.1501,0
1617747,0.6331,-0.0123,-0.0110,0.7739,-1.8636,0.2959,101.4282,0.0341,-0.0745,-0.1742,0
1617914,0.6331,-0.0121,-0.0110,0.7739,-1.8583,0.2774,101.4266,0.0358,-0.0725,-0.1379,0
1618080,0.6331,-0.0120,-0.0111,0.7739,-1.8528,0.2600,101.4277,0.0278,-0.0900,-0.1337,0
1618247,0.6331,-0.0118,-0.0112,0.7739,-1.8475,0.2400,101.4243,0.0287,-0.1018,-0.1498,0
1618414,0.6331,-0.0117,-0.0112,0.7739,-1.8406,0.2208,101.4278,0.0386,-0.0960,-0.1335,0
1618580,0.6331,-0.0115,-0.0113,0.7739,-1.8354,0.2016,101.4292,0.0519,-0.0903,-0.1383,0
1618747,0.6331,-0.0113,-0.0114,0.7739,-1.8307,0.1825,101.4288,0.0639,-0.0817,-0.1394,0
1618914,0.6331,-0.0112,-0.0114,0.7739,-1.8239,0.1617,101.4262,0.0595,-0.0730,-0.1271,0
1619080,0.6331,-0.0110,-0.0115,0.7739,-1.8170,0.1418,101.4218,0.0404,-0.0847,-0.1556,0
1619247,0.6331,-0.0108,-0.0116,0.7739,-1.8120,0.1218,101.4237,0.0381,-0.1222,-0.1397,0
1619414,0.6331,-0.0107,-0.0116,0.7739,-1.8072,0.1013,101.4285,0.0501,-0.1356,-0.1194,0
1619580,0.6331,-0.0105,-0.0117,0.7739,-1.8032,0.0818,101.4315,0.0617,-0.1101,-0.1425,0
1619747,0.6331,-0.0104,-0.0118,0.7739,-1.7986,0.0625,101.4299,0.0620,-0.1050,-0.1670,0
1619914,0.6331,-0.0102,-0.0119,0.7739,-1.7942,0.0427,101.4317,0.0711,-0.1178,-0.1358,0
1620080,0.6331,-0.0100,-0.0120,0.7739,-1.7894,0.0223,101.4342,0.0617,-0.1335,-0.1380,0
1620247,0.6331,-0.0099,-0.0121,0.7739,-1.7853,0.0014,101.4345,0.0603,-0.1426,-0.1393,0
1620414,0.6331,-0.0097,-0.0121,0.7740,-1.7804,-0.0183,101.4372,0.0622,-0.1256,-0.1270,0
1620580,0.6331,-0.0095,-0.0122,0.7739,-1.7758,-0.0389,101.4341,0.0598,-0.1479,-0.1277,0
